ts_code,000333.SZ,000858.SZ,002594.SZ,300750.SZ,600519.SH,601318.SH
000333.SZ,1.00000000,0.38690987,0.23342027,0.23126195,0.39786413,0.39196037
000858.SZ,0.38690987,1.00000000,0.38172662,0.35302183,0.82527370,0.53653179
002594.SZ,0.23342027,0.38172662,1.00000000,0.58668584,0.48972188,0.36198530
300750.SZ,0.23126195,0.35302183,0.58668584,1.00000000,0.39032853,0.39750749
600519.SH,0.39786413,0.82527370,0.48972188,0.39032853,1.00000000,0.55009433
601318.SH,0.39196037,0.53653179,0.36198530,0.39750749,0.55009433,1.00000000
